Startzeitpunkt;Start_text;Endezeitpunkt;Ende_text;Elektrische Leitfähigkeit [µS/cm];Sauerstoffgehalt [mg/L];pH-Wert;Temperatur [°C]
2023-02-02T06:00:00+00:00;02.02.2023 07:00:00;2023-02-02T06:15:00+00:00;02.02.2023 07:15:00;400.6;12.49;8.06;5.69
2023-02-02T07:15:00+00:00;02.02.2023 08:15:00;2023-02-02T07:30:00+00:00;02.02.2023 08:30:00;401.1;12.52;8.06;5.71
2023-02-02T08:15:00+00:00;02.02.2023 09:15:00;2023-02-02T08:30:00+00:00;02.02.2023 09:30:00;401.9;12.52;8.06;5.73
2023-02-02T08:00:00+00:00;02.02.2023 09:00:00;2023-02-02T08:15:00+00:00;02.02.2023 09:15:00;402.6;12.51;8.06;5.73
2023-02-02T08:45:00+00:00;02.02.2023 09:45:00;2023-02-02T09:00:00+00:00;02.02.2023 10:00:00;405.9;12.49;8.05;5.75
2023-02-02T09:00:00+00:00;02.02.2023 10:00:00;2023-02-02T09:15:00+00:00;02.02.2023 10:15:00;406.9;12.47;8.05;5.77
2023-02-02T11:15:00+00:00;02.02.2023 12:15:00;2023-02-02T11:30:00+00:00;02.02.2023 12:30:00;415.6;12.42;8.06;5.83
2023-02-02T11:45:00+00:00;02.02.2023 12:45:00;2023-02-02T12:00:00+00:00;02.02.2023 13:00:00;419.2;12.37;8.06;5.87
2023-02-02T12:00:00+00:00;02.02.2023 13:00:00;2023-02-02T12:15:00+00:00;02.02.2023 13:15:00;418.1;12.39;8.06;5.87
2023-02-02T14:00:00+00:00;02.02.2023 15:00:00;2023-02-02T14:15:00+00:00;02.02.2023 15:15:00;427.5;12.36;8.06;5.9
2023-02-02T14:15:00+00:00;02.02.2023 15:15:00;2023-02-02T14:30:00+00:00;02.02.2023 15:30:00;429.2;12.3;8.05;5.92
2023-02-02T14:30:00+00:00;02.02.2023 15:30:00;2023-02-02T14:45:00+00:00;02.02.2023 15:45:00;429.4;12.29;8.05;5.93
