Zeitstempel;Niederschlag;Luftfeuchtigkeit;Globalstrahlung [W/m2];Lufttemperatur;Windgeschwindigkeit;Windrichtung
2023-04-30T23:00:01+02:00;0.0;57.5;0.0;15.33;0.7;70.0
2023-05-01T07:00:01+02:00;2.8;99.99;0.0;11.16;0.0;13.0
2023-05-01T12:00:01+02:00;0.0;94.72;306.0;12.87;0.7;264.0
2023-05-01T14:00:01+02:00;0.0;74.36;537.0;15.45;1.0;307.0
2023-04-30T20:00:01+02:00;0.0;52.8;27.0;17.33;0.9;160.0
2023-04-30T21:00:01+02:00;0.0;53.59;0.0;16.74;0.8;164.0
2023-05-02T00:00:01+02:00;0.4;77.93;0.0;13.19;0.7;122.0
2023-05-02T01:00:01+02:00;0.0;91.98;0.0;11.9;0.6;298.0
2023-05-02T06:00:01+02:00;0.0;95.43;0.0;10.09;0.3;64.0
2023-05-02T08:00:01+02:00;0.0;91.86;109.0;10.42;0.4;197.0
2023-05-02T09:00:01+02:00;0.0;79.77;249.0;12.18;0.5;237.0
2023-05-02T13:00:01+02:00;0.0;56.8;736.0;16.08;1.2;140.0
2023-05-02T20:00:01+02:00;0.0;55.4;85.0;16.54;0.8;232.0
2023-05-02T21:00:01+02:00;0.0;60.93;12.0;15.63;0.6;199.0
2023-05-04T21:00:01+02:00;0.0;37.43;3.0;24.19;1.7;111.0
2023-05-06T17:00:01+02:00;0.0;48.32;463.0;22.27;1.4;130.0
2023-05-06T20:00:01+02:00;0.0;49.68;66.0;21.94;1.0;169.0
2023-05-07T06:00:01+02:00;0.0;93.79;0.0;12.54;0.7;239.0
2023-05-07T08:00:01+02:00;0.0;89.89;80.0;13.03;0.9;249.0
2023-05-07T00:00:01+02:00;0.0;78.18;0.0;16.56;0.4;266.0
2023-05-07T11:00:01+02:00;0.0;66.04;339.0;18.68;0.8;184.0
2023-05-07T15:00:01+02:00;1.6;82.61;87.0;16.73;1.4;26.0
2023-05-07T16:00:01+02:00;0.0;78.37;446.0;18.24;0.6;251.0
2023-05-07T21:00:01+02:00;1.0;90.12;0.0;15.69;1.2;345.0
2023-05-08T01:00:01+02:00;0.0;94.08;0.0;14.87;0.7;304.0
2023-05-08T02:00:01+02:00;0.2;95.23;0.0;14.68;0.6;317.0
2023-05-08T11:00:01+02:00;0.0;92.87;114.0;16.01;0.5;235.0
2023-05-08T04:00:01+02:00;0.0;96.58;0.0;14.65;0.7;291.0
2023-05-08T06:00:01+02:00;0.0;93.77;0.0;14.71;0.6;290.0
2023-05-08T08:00:01+02:00;0.0;94.3;0.0;14.9;0.5;278.0
2023-05-09T03:00:01+02:00;0.0;99.52;0.0;13.28;1.0;270.0
2023-05-09T02:00:01+02:00;0.0;99.7;0.0;13.75;0.5;295.0
2023-05-08T22:00:01+02:00;0.0;93.93;0.0;15.39;0.9;275.0
2023-05-08T21:00:01+02:00;0.0;93.18;0.0;15.63;0.5;220.0
2023-05-09T08:00:01+02:00;0.0;99.99;36.0;12.87;0.8;277.0
2023-05-11T09:00:01+02:00;0.0;80.42;182.0;11.84;1.0;109.0
2023-05-11T05:00:01+02:00;0.0;78.22;0.0;11.85;0.8;85.0
2023-05-11T08:00:01+02:00;0.0;82.86;101.0;11.44;0.6;55.0
2023-05-11T13:00:01+02:00;0.4;81.33;254.0;12.49;0.6;121.0
2023-05-11T14:00:01+02:00;0.0;70.58;403.0;13.84;1.0;62.0
2023-05-10T01:00:01+02:00;0.0;87.26;0.0;14.13;1.9;5.0
2023-05-10T05:00:01+02:00;0.0;85.71;0.0;13.75;0.9;7.0
2023-05-10T04:00:01+02:00;0.0;86.65;0.0;13.79;1.3;359.0
2023-05-10T06:00:01+02:00;0.0;83.61;0.0;13.42;0.8;356.0
2023-05-10T07:00:01+02:00;0.8;87.64;0.0;12.61;1.4;358.0
2023-05-10T08:00:01+02:00;2.2;94.19;10.0;12.05;0.7;357.0
2023-05-10T09:00:01+02:00;0.2;85.02;117.0;12.91;1.9;13.0
2023-05-10T12:00:01+02:00;0.0;61.58;452.0;14.28;1.8;39.0
2023-05-11T02:00:01+02:00;0.0;71.53;0.0;12.29;0.6;357.0
2023-05-11T03:00:01+02:00;0.0;72.67;0.0;12.21;0.5;42.0
2023-05-10T17:00:01+02:00;0.0;50.63;585.0;16.35;2.0;45.0
2023-05-10T21:00:01+02:00;0.0;64.92;10.0;14.3;1.2;16.0
2023-05-11T21:00:01+02:00;0.0;91.78;3.0;12.09;0.8;233.0
2023-05-12T18:00:01+02:00;0.0;58.15;339.0;16.91;1.4;168.0
2023-05-13T22:00:01+02:00;0.0;88.84;0.0;12.8;0.5;187.0
2023-05-13T23:00:01+02:00;0.0;90.29;0.0;11.97;0.0;190.0
2023-05-14T01:00:01+02:00;0.0;93.83;0.0;11.36;0.2;218.0
2023-05-14T02:00:01+02:00;0.0;96.23;0.0;11.07;0.1;158.0
2023-05-14T04:00:01+02:00;0.0;97.32;0.0;10.14;0.5;169.0
2023-05-14T06:00:01+02:00;0.0;97.64;0.0;9.96;0.4;164.0
2023-05-14T08:00:01+02:00;0.0;96.37;69.0;10.74;0.2;25.0
2023-05-14T09:00:01+02:00;0.0;92.13;131.0;11.16;0.4;29.0
2023-05-14T10:00:01+02:00;0.0;82.51;364.0;12.28;0.8;52.0
2023-05-13T19:00:01+02:00;0.0;86.86;48.0;13.42;0.9;179.0
2023-05-13T01:00:01+02:00;0.0;88.6;0.0;13.4;0.6;77.0
2023-05-13T04:00:01+02:00;0.0;95.97;0.0;12.63;0.7;143.0
2023-05-14T18:00:01+02:00;0.0;66.45;335.0;15.84;1.0;272.0
2023-05-14T20:00:01+02:00;0.0;67.88;23.0;15.4;0.7;88.0
2023-05-15T04:00:01+02:00;0.0;92.87;0.0;11.25;0.6;190.0
2023-05-15T08:00:01+02:00;0.0;88.68;78.0;11.24;0.6;211.0
2023-05-15T09:00:01+02:00;0.0;85.52;120.0;12.04;0.6;252.0
2023-05-15T10:00:01+02:00;0.0;82.19;156.0;12.95;0.5;215.0
2023-05-15T11:00:01+02:00;0.0;78.75;283.0;13.98;0.7;47.0
2023-05-15T12:00:01+02:00;0.0;73.69;322.0;14.98;0.6;52.0
2023-05-15T15:00:01+02:00;0.0;56.14;646.0;17.85;1.6;113.0
2023-05-15T18:00:01+02:00;0.0;53.6;241.0;17.1;0.5;298.0
2023-05-16T00:00:01+02:00;0.0;97.16;0.0;12.21;0.2;282.0
2023-05-16T02:00:01+02:00;0.0;98.18;0.0;11.64;0.0;290.0
2023-05-16T05:00:01+02:00;0.0;98.69;0.0;11.39;0.2;80.0
2023-05-16T06:00:01+02:00;0.2;94.1;0.0;11.75;0.9;66.0
2023-05-16T07:00:01+02:00;0.0;92.88;0.0;11.62;0.8;116.0
2023-05-16T09:00:01+02:00;1.0;95.87;12.0;10.98;0.9;110.0
2023-05-16T10:00:01+02:00;1.8;97.89;39.0;10.84;1.0;91.0
2023-05-16T11:00:01+02:00;1.0;97.61;35.0;10.71;1.1;97.0
2023-05-16T15:00:01+02:00;0.0;90.98;43.0;10.94;1.2;135.0
2023-05-16T19:00:01+02:00;0.0;83.39;0.0;10.31;1.2;150.0
2023-05-16T21:00:01+02:00;0.0;78.45;20.0;10.48;1.1;134.0
2023-05-17T02:00:01+02:00;0.0;78.81;0.0;9.83;0.8;167.0
2023-05-17T03:00:01+02:00;0.0;84.46;0.0;9.08;0.8;174.0
2023-05-17T09:00:01+02:00;0.0;70.75;421.0;9.59;0.9;143.0
2023-05-16T23:00:01+02:00;0.0;76.95;0.0;10.01;0.9;137.0
2023-05-17T06:00:01+02:00;0.0;82.43;0.0;8.08;0.7;141.0
2023-05-17T05:00:01+02:00;0.0;82.22;0.0;8.4;0.8;161.0
2023-05-17T12:00:01+02:00;0.0;55.47;493.0;12.79;1.4;171.0
2023-05-17T17:00:01+02:00;0.0;49.49;445.0;14.68;2.5;161.0
2023-05-17T18:00:01+02:00;0.0;50.75;194.0;14.38;2.2;159.0
